pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
Tl,0,0,0
Al,0,0,0
Sc,0,0,0
Zr,0,0,0
Ti,0,0,0
Nb,0,0,0
Tc,0,0,0
Ba,0,0,0
Ta,0,0,0
Ni,0,0,0
Pd,0,0,0
Bi,0,0,0
In,0,0,0
Be,0,0,0
Rb,0,0,0
K,0,0,0
V,0,0,0
Ca,0,0,0
Os,0,0,0
Cr,0,0,0
Na,0,0,0
Au,0,0,0
Ru,0,0,0
Y,0,0,0
Pt,0,0,0
Pb,0,0,0
Ra,0,0,0
Li,0,0,0
Rh,0,0,0
Hf,0,0,0
Ac,0,0,0
Mg,0,0,0
Zn,0,0,0
Ir,0,0,0
Sr,0,0,0
Co,0,0,0
La,0,0,0
Ga,0,0,0
Cs,0,0,0
Ag,0,0,0
Cu,0,0,0
W,0,0,0
Fe,0,0,0
Re,0,0,0
Hg,0,0,0
Mn,0,0,0
Sn,0,0,0
Cd,0,0,0
Mo,0,0,0